pen cat cow hors dog tv book hous cup girl carpet boi 

doc0 Doc111 Doc112 Doc121 Doc122 Doc211 Doc212 Doc213 Doc221 

4 3 2 5 4 4 2 3 1 3 1 1 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.3521825181113625 0.47712125471966244 0.6532125137753437 0.25527250510330607 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.6532125137753437 0.25527250510330607 0.3521825181113625 0.704365036222725 0.6532125137753437 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.3521825181113625 0.0 0.0 0.47712125471966244 0.9542425094393249 0.0 0.0 0.0 
0.3521825181113625 0.0 0.0 0.25527250510330607 0.0 0.704365036222725 0.0 0.47712125471966244 0.0 0.0 0.0 0.0 
0.0 0.47712125471966244 0.0 0.25527250510330607 0.3521825181113625 0.0 0.0 0.0 0.0 0.47712125471966244 0.0 0.0 
0.3521825181113625 0.0 0.0 0.0 0.0 0.704365036222725 1.3064250275506875 0.0 0.0 0.47712125471966244 0.0 0.0 
0.0 0.0 0.0 0.0 0.3521825181113625 0.0 0.0 0.0 0.0 0.47712125471966244 1.9084850188786497 0.0 
0.3521825181113625 0.47712125471966244 0.0 0.25527250510330607 0.0 0.704365036222725 0.0 0.47712125471966244 0.0 0.0 0.0 0.9542425094393249 
